Burger,Fries,Cola,Shake,Chicken Nuggets,Salad,Ice Cream,Coffee,Tea,Smoothie,Onion Rings,Cheese Sticks,Pasta,Soup,Grilled Sandwich,Wrap,Muffin,Donut,Brownie,Water,Transaction_ID
0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2
0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,3
0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,4
1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,5
0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,6
1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,7
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,8
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9
0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,10
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,11
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,12
1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,13
0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,14
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15
0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,16
0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,17
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,18
0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,19
0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,20
0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,21
1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,22
0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,23
0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,24
0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,25
0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,26
0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,27
1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,28
1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,29
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,31
0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,32
0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,33
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,34
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35
0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,36
1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,37
0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,38
0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,39
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,40
1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,41
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,42
0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,43
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,44
0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,45
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,46
1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,47
0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,48
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,49
0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,50
0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,51
0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,52
0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,53
1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,54
1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,55
0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,56
1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,57
1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,58
1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,59
1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,60
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,61
1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,62
1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,63
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,64
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,65
0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,66
0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,67
0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,68
1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,69
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,70
0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,71
0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,72
1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,73
0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,74
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75
0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,76
0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,77
1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,78
0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,79
0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,80
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,81
0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,82
0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,83
0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,84
0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,85
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,86
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,87
1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,88
0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,89
0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,90
1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,91
0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,92
0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,93
1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,94
0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,95
0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,96
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,97
0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,98
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,99
0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,100
0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,101
